id;date;A2_statut;A2_autre;A3_poste;A4_secteur;A4_secteur_autre;A5_teleravail;A6_experience;B1_utilisation_python;B1_utilisation_r;B1_utilisation_sas;B1_utilisation_powerBI;B1_utilisation_tableau;B1_utilisation_qlik;B1_utilisation_excel;B1_utilisation_sql;B1_utilisation_spark;B1_utilisation_spss;B1_utilisation_c_java;B1_utilisation_datastudio;B1_utilisation_matlab;B1_utilisation_aucun;B2_frequence_utilisation_python;B2_frequence_utilisation_r;B2_frequence_utilisation_sas;B2_frequence_utilisation_powerBI;B2_frequence_utilisation_tableau;B2_frequence_utilisation_qlik;B2_frequence_utilisation_excel;B2_frequence_utilisation_sql;B2_frequence_utilisation_spark;B2_frequence_utilisation_spss;B2_frequence_utilisation_c_java;B2_frequence_utilisation_datastudio;B2_frequence_utilisation_matlab;D1_satisfaction;Y1A_genre;Y1B_age;Y4_diplome;Y2_region
447;29/03/2024 21:07;En CDD / contrat court / alternance / stage;;Autre;Banques / assurances / finances;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Régulièrement;Occasionnellement;Jamais;Jamais;Jamais;Jamais;Jamais;Jamais;Occasionnellement;Jamais;;;;7;Une femme;28;Bac + 5;Île-de-France
448;29/03/2024 21:36;En recherche d'emploi;;;;;;;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Occasionnellement;Jamais;;Occasionnellement;;;Occasionnellement;Régulièrement;;;Jamais;;Jamais;;Un homme;26;Bac + 5;Normandie
449;29/03/2024 22:56;En CDI;;Data Analyst / analyste;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;Jamais;Jamais;;Régulièrement;;Occasionnellement;Régulièrement;Occasionnellement;;;;;8;Une femme;30;Bac + 5;Occitanie
450;30/03/2024 00:10;En CDI;;Data Analyst / analyste;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Occasionnellement;Régulièrement;;Occasionnellement;;;Occasionnellement;Régulièrement;;;;;;6;Une femme;35;Bac + 2 / 3;Auvergne-Rhône-Alpes
451;;En CDI;;Data Analyst / analyste;Transport;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;4;Oui;Non;Non;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;;;Occasionnellement;Régulièrement;;Régulièrement;Régulièrement;Occasionnellement;;;;;;;;;
452;30/03/2024 08:28;Etudiant (hors alternance / stage);;;;;;;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;;;Occasionnellement;;;;Régulièrement;Occasionnellement;;;;;;Un homme;24;Bac + 2 / 3;Hors France
453;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
454;30/03/2024 11:13;En recherche d'emploi;;;;;;;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;;Régulièrement;;;;;Occasionnellement;;;Occasionnellement;;;Occasionnellement;;Une femme;32;Bac + 5;Hors France
455;;En CDI;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
456;;En recherche d'emploi;;;;;;;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;
